file	code	lang	family	country
mco-mcoNT.txt	mco	Mixe, Coatlán	Mixe-Zoquean	Mexico
mcp-mcp.txt	mcp	Makaa	Niger-Congo	Cameroon
mcq-mcq.txt	mcq	Ese	Trans-New Guinea	Papua New Guinea
mcr-mcr.txt	mcr	Menya	Trans-New Guinea	Papua New Guinea
mdy-mdyeth.txt	mdy	Male	Afro-Asiatic	Ethiopia
med-med.txt	med	Melpa	Trans-New Guinea	Papua New Guinea
mee-mee.txt	mee	Mengen	Austronesian	Papua New Guinea
mek-mek.txt	mek	Mekeo	Austronesian	Papua New Guinea
meq-meq.txt	meq	Merey	Afro-Asiatic	Cameroon
met-met.txt	met	Mato	Austronesian	Papua New Guinea
meu-meu.txt	meu	Motu	Austronesian	Papua New Guinea
mgc-mgc.txt	mgc	Morokodo	Nilo-Saharan	South Sudan
mgh-mgh.txt	mgh	Makhuwa-Meetto	Niger-Congo	Mozambique
mgh-mgh2016.txt	mgh	Makhuwa-Meetto	Niger-Congo	Mozambique
mgw-mgw.txt	mgw	Matumbi	Niger-Congo	Tanzania, United Republic of
mhl-mhl.txt	mhl	Mauwake	Trans-New Guinea	Papua New Guinea
mib-mibNT.txt	mib	Mixtec, Atatlahuca	Otomanguean	Mexico
mic-micMIQNT.txt	mic	Mi’kmaq	Algic	Canada
mie-mieNT.txt	mie	Mixtec, Ocotepec	Otomanguean	Mexico
mig-migNT.txt	mig	Mixtec, San Miguel el Grande	Otomanguean	Mexico
mih-mihNT.txt	mih	Mixtec, Chayuco	Otomanguean	Mexico
mil-milNT.txt	mil	Mixtec, Peñoles	Otomanguean	Mexico
mio-mioNT.txt	mio	Mixtec, Pinotepa Nacional	Otomanguean	Mexico
mir-mirNT.txt	mir	Mixe, Isthmus	Mixe-Zoquean	Mexico
mit-mitNT.txt	mit	Mixtec, Southern Puebla	Otomanguean	Mexico
miz-mizNT.txt	miz	Mixtec, Coatzospan	Otomanguean	Mexico
mjc-mjcNT.txt	mjc	Mixtec, San Juan Colorado	Otomanguean	Mexico
mkj-mkj.txt	mkj	Mokilese	Austronesian	Micronesia, Federated States of
mkl-mkl.txt	mkl	Mokole	Niger-Congo	Benin
mkn-mkn.txt	mkn	Malay, Kupang	Creole	Indonesia
mks-mksNT.txt	mks	Mixtec, Silacayoapan	Otomanguean	Mexico
mle-mle.txt	mle	Manambu	Sepik	Papua New Guinea
mlh-mlh.txt	mlh	Mape	Trans-New Guinea	Papua New Guinea
mlp-mlp.txt	mlp	Bargam	Trans-New Guinea	Papua New Guinea
mmo-mmo.txt	mmo	Buang, Mangga	Austronesian	Papua New Guinea
mmx-mmx.txt	mmx	Madak	Austronesian	Papua New Guinea
mna-mna.txt	mna	Mbula	Austronesian	Papua New Guinea
mop-mopNT.txt	mop	Maya, Mopán	Mayan	Belize
mox-mox.txt	mox	Molima	Austronesian	Papua New Guinea
mph-mph.txt	mph	Maung	Australian	Australia
mpj-mpj.txt	mpj	Martu Wangka	Australian	Australia
mpm-mpmNT.txt	mpm	Mixtec, Yosondúa	Otomanguean	Mexico
mpp-mpp.txt	mpp	Migabac	Trans-New Guinea	Papua New Guinea
mps-mps.txt	mps	Dadibi	Trans-New Guinea	Papua New Guinea
mpt-mpt.txt	mpt	Mian	Trans-New Guinea	Papua New Guinea
mpx-mpx.txt	mpx	Misima-Panaeati	Austronesian	Papua New Guinea
mqb-mqbNT.txt	mqb	Mbuko	Afro-Asiatic	Cameroon
mqj-mqjNT.txt	mqj	Mamasa	Austronesian	Indonesia
msb-msb.txt	msb	Masbatenyo	Austronesian	Philippines
msc-msc.txt	msc	Maninka, Sankaran	Niger-Congo	Guinea
msk-msk.txt	msk	Mansaka	Austronesian	Philippines
msm-msmNT.txt	msm	Manobo, Agusan	Austronesian	Philippines
msy-msy.txt	msy	Aruamu	Ramu-Lower Sepik	Papua New Guinea
msy-msy2020.txt	msy	Aruamu	Ramu-Lower Sepik	Papua New Guinea
mti-mti.txt	mti	Maiwa	Trans-New Guinea	Papua New Guinea
mto-mtoNT.txt	mto	Mixe, Totontepec	Mixe-Zoquean	Mexico
mux-mux.txt	mux	Bo-Ung	Trans-New Guinea	Papua New Guinea
muy-muy.txt	muy	Muyang	Afro-Asiatic	Cameroon
mva-mva.txt	mva	Manam	Austronesian	Papua New Guinea
mvn-mvn.txt	mvn	Minaveha	Austronesian	Papua New Guinea
mwc-mwc.txt	mwc	Are	Austronesian	Papua New Guinea
mwe-mwe.txt	mwe	Mwera	Niger-Congo	Tanzania, United Republic of
mwf-mwf2018.txt	mwf	Murrinh-Patha	Australian	Australia
mwp-mwp.txt	mwp	Kala Lagaw Ya	Australian	Australia
mxb-mxbNT.txt	mxb	Mixtec, Tezoatlán	Otomanguean	Mexico
mxp-mxpNT.txt	mxp	Mixe, Tlahuitoltepec	Mixe-Zoquean	Mexico
mxq-mxqNT.txt	mxq	Mixe, Juquila	Mixe-Zoquean	Mexico
mxt-mxtNT.txt	mxt	Mixtec, Jamiltepec	Otomanguean	Mexico
mya-mya.txt	mya	Burmese	Sino-Tibetan	Myanmar
mya-myajvb.txt	mya	Burmese	Sino-Tibetan	Myanmar
myk-myk.txt	myk	Sénoufo, Mamara	Niger-Congo	Mali
myu-myu.txt	myu	Mundurukú	Tupian	Brazil
myw-myw.txt	myw	Muyuw	Austronesian	Papua New Guinea
myy-myy.txt	myy	Macuna	Tucanoan	Colombia
mzz-mzz.txt	mzz	Maiadomu	Austronesian	Papua New Guinea
nab-nabNT.txt	nab	Nambikuára, Southern	Nambikwara	Brazil
naf-naf.txt	naf	Nabak	Trans-New Guinea	Papua New Guinea
nak-nak.txt	nak	Nakanai	Austronesian	Papua New Guinea
nas-nas.txt	nas	Naasioi	South Bougainville	Papua New Guinea
nay-nay.txt	nay	Ngarrindjeri	Australian	Australia
nbq-nbq.txt	nbq	Nggem	Trans-New Guinea	Indonesia
nca-nca.txt	nca	Iyo	Trans-New Guinea	Papua New Guinea
nch-nchBl.txt	nch	Nahuatl, Central Huasteca	Uto-Aztecan	Mexico
ncj-ncjNT.txt	ncj	Nahuatl, Northern Puebla	Uto-Aztecan	Mexico
ncl-nclNT.txt	ncl	Nahuatl, Michoacán	Uto-Aztecan	Mexico
ncu-ncuNT.txt	ncu	Chumburung	Niger-Congo	Ghana
ndg-ndg.txt	ndg	Ndengereko	Niger-Congo	Tanzania, United Republic of
ndj-ndj.txt	ndj	Ndamba	Niger-Congo	Tanzania, United Republic of
nfa-nfa.txt	nfa	Dhao	Austronesian	Indonesia
ngp-ngp.txt	ngp	Ngulu	Niger-Congo	Tanzania, United Republic of
ngu-nguNT.txt	ngu	Nahuatl, Guerrero	Uto-Aztecan	Mexico
nhe-nheBl.txt	nhe	Nahuatl, Eastern Huasteca	Uto-Aztecan	Mexico
nhe-nheNT.txt	nhe	Nahuatl, Eastern Huasteca	Uto-Aztecan	Mexico
nhg-nhgNT.txt	nhg	Nahuatl, Tetelcingo	Uto-Aztecan	Mexico
nhi-nhiNT.txt	nhi	Nahuatl, Zacatlán-Ahuacatlán-Tepetzintla	Uto-Aztecan	Mexico
nho-nho.txt	nho	Takuu	Austronesian	Papua New Guinea
nhr-nhr.txt	nhr	Naro	Khoe-Kwadi	Botswana
nhu-nhuNT.txt	nhu	Noone	Niger-Congo	Cameroon
nhw-nhwBl.txt	nhw	Nahuatl, Western Huasteca	Uto-Aztecan	Mexico
nhy-nhyNT.txt	nhy	Nahuatl, Northern Oaxaca	Uto-Aztecan	Mexico
nif-nif.txt	nif	Nek	Trans-New Guinea	Papua New Guinea
nii-nii.txt	nii	Nii	Trans-New Guinea	Papua New Guinea
nin-ninNT.txt	nin	Ninzo	Niger-Congo	Nigeria
nko-nkoNT.txt	nko	Nkonya	Niger-Congo	Ghana
nld-nld1939.txt	nld	Dutch	Indo-European	Netherlands
nlg-nlg.txt	nlg	Gela	Austronesian	Solomon Islands
nmw-nmws.txt	nmw	Rifao	Austronesian	Papua New Guinea
nna-nna.txt	nna	Nyangumarta	Australian	Australia
nnq-nnq.txt	nnq	Ngindo	Niger-Congo	Tanzania, United Republic of
noa-noaE.txt	noa	Woun Meu	Chocoan	Colombia
noa-noaH.txt	noa	Woun Meu	Chocoan	Colombia
